n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,ppt_djf,ppt_jja
205,"(0.675,0.7]",0.675,0.7,0.025,tmp,0.003125505200193997,0.03445600043110417,0.0034165005119361964,NA,NA
206,"(0.7,0.725]",0.7,0.725,0.025,tmp,0.003244058845718597,1.4010885380179986e-4,0.0033518348871045965,NA,NA
207,"(0.725,0.75]",0.725,0.75,0.025,tmp,0.003772161448509996,0,0.0038368270733415964,NA,NA
208,"(0.75,0.775]",0.75,0.775,0.025,tmp,0.003772161448509996,0,0.003912270302311796,NA,NA
209,"(0.775,0.8]",0.775,0.8,0.025,tmp,0.0041709328016381955,0.03683785094573476,0.0036751630112625963,NA,NA
210,"(0.8,0.825]",0.8,0.825,0.025,tmp,0.004440372905103195,0,0.0036212749905695962,NA,NA
211,"(0.825,0.85]",0.825,0.85,0.025,tmp,0.005022363528587595,0,0.0038152718650643963,NA,NA
212,"(0.85,0.875]",0.85,0.875,0.025,tmp,0.005388802069299994,0,0.003793716656787196,NA,NA
213,"(0.875,0.9]",0.875,0.9,0.025,tmp,0.0054642452982701945,0.03909037021070216,0.0034272781160747967,NA,NA
214,"(0.9,0.925]",0.9,0.925,0.025,tmp,0.0053241364444683945,0,0.004106267176806596,NA,NA
215,"(0.925,0.95]",0.925,0.95,0.025,tmp,0.006143234359001994,0,0.004063156760252196,NA,NA
216,"(0.95,0.975]",0.95,0.975,0.025,tmp,0.005625909360349194,0,0.003912270302311796,NA,NA
217,"(0.975,1]",0.975,1,0.025,tmp,0.005625909360349194,0.040211241041116556,0.004235598426469795,NA,NA
218,"(1,1.025]",1,1.025,0.025,tmp,0.005550466131378994,0.0014873093711267986,0.004634369779597996,NA,NA
219,"(1.025,1.05]",1.025,1.05,0.025,tmp,0.005755240610012394,0,0.004332596863717196,NA,NA
220,"(1.05,1.075]",1.05,1.075,0.025,tmp,0.0058845718596755945,0,0.003933825510588996,NA,NA
221,"(1.075,1.1]",1.075,1.1,0.025,tmp,0.005733685401735194,0.04016813062456216,0.004655924987875195,NA,NA
222,"(1.1,1.125]",1.1,1.125,0.025,tmp,0.005722907797596594,0,0.004796033841676995,NA,NA
223,"(1.125,1.15]",1.125,1.15,0.025,tmp,0.005712130193457995,0,0.004106267176806596,NA,NA
224,"(1.15,1.175]",1.15,1.175,0.025,tmp,0.0056366869644877944,0,0.004397262488548796,NA,NA
225,"(1.175,1.2]",1.175,1.2,0.025,tmp,0.005367246861022795,0.04042679312388856,0.004106267176806596,NA,NA
226,"(1.2,1.225]",1.2,1.225,0.025,tmp,0.005076251549280595,0.0017459718704531983,0.003966158323004796,NA,NA
227,"(1.225,1.25]",1.225,1.25,0.025,tmp,0.004990030716171795,0,0.004569704154766396,NA,NA
228,"(1.25,1.275]",1.25,1.275,0.025,tmp,0.005162472382389395,0,0.004494260925796196,NA,NA
229,"(1.275,1.3]",1.275,1.3,0.025,tmp,0.005119361965834995,0.04141833270463976,0.004903809883062995,NA,NA
230,"(1.3,1.325]",1.3,1.325,0.025,tmp,0.004957697903755995,0,0.005291803632052595,NA,NA
231,"(1.325,1.35]",1.325,1.35,0.025,tmp,0.0053241364444683945,0,0.005054696341003395,NA,NA
232,"(1.35,1.375]",1.35,1.375,0.025,tmp,0.006143234359001994,0,0.005227138007220995,NA,NA
233,"(1.375,1.4]",1.375,1.4,0.025,tmp,0.005766018214150994,0.035910976989815165,0.005140917174112195,NA,NA
234,"(1.4,1.425]",1.4,1.425,0.025,tmp,0.006024680713477394,0,0.0054965781106859945,NA,NA
235,"(1.425,1.45]",1.425,1.45,0.025,tmp,0.006121679150724794,0,0.005227138007220995,NA,NA
236,"(1.45,1.475]",1.45,1.475,0.025,tmp,0.006574338524545993,0,0.005151694778250795,NA,NA
237,"(1.475,1.5]",1.475,1.5,0.025,tmp,0.006186344775556394,0.035932532198092365,0.005140917174112195,NA,NA
238,"(1.5,1.525]",1.5,1.525,0.025,tmp,0.006703669774209193,0.0013579781214635986,0.005378024465161395,NA,NA
239,"(1.525,1.55]",1.525,1.55,0.025,tmp,0.007436546855633993,0,0.004817589049954195,NA,NA
240,"(1.55,1.575]",1.55,1.575,0.025,tmp,0.008481974457078191,0,0.005528910923101794,NA,NA
241,"(1.575,1.6]",1.575,1.6,0.025,tmp,0.007813763000484992,0.04139677749636256,0.004666702592013796,NA,NA
242,"(1.6,1.625]",1.6,1.625,0.025,tmp,0.0077706525839305925,0,0.004968475507894595,NA,NA
243,"(1.625,1.65]",1.625,1.65,0.025,tmp,0.0074904348763269925,0,0.004936142695478795,NA,NA
244,"(1.65,1.675]",1.65,1.675,0.025,tmp,0.007414991647356792,0,0.0051840275906665945,NA,NA
245,"(1.675,1.7]",1.675,1.7,0.025,tmp,0.0075227676887427925,0.04068545562321496,0.004526593738211996,NA,NA
246,"(1.7,1.725]",1.7,1.725,0.025,tmp,0.006962332273535593,6.789890607317993e-4,0.004828366654092795,NA,NA
247,"(1.725,1.75]",1.725,1.75,0.025,tmp,0.006994665085951393,0,0.005119361965834995,NA,NA
248,"(1.75,1.775]",1.75,1.775,0.025,tmp,0.0076305437301287925,0,0.0045589265506277956,NA,NA
249,"(1.775,1.8]",1.775,1.8,0.025,tmp,0.006865333836288193,0.03440211241041117,0.004709813008568195,NA,NA
250,"(1.8,1.825]",1.8,1.825,0.025,tmp,0.007598210917712993,0,0.004289486447162796,NA,NA
251,"(1.825,1.85]",1.825,1.85,0.025,tmp,0.007598210917712993,0,0.004440372905103195,NA,NA
252,"(1.85,1.875]",1.85,1.875,0.025,tmp,0.007673654146683193,0,0.004127822385083796,NA,NA
253,"(1.875,1.9]",1.875,1.9,0.025,tmp,0.007371881230802392,0.03169693377162257,0.004257153634746996,NA,NA
254,"(1.9,1.925]",1.9,1.925,0.025,tmp,0.008481974457078191,0,0.003955380718866196,NA,NA
255,"(1.925,1.95]",1.925,1.95,0.025,tmp,0.007889206229455192,0,0.004149377593360996,NA,NA
256,"(1.95,1.975]",1.95,1.975,0.025,tmp,0.008902301018483591,0,0.004494260925796196,NA,NA
257,"(1.975,2]",1.975,2,0.025,tmp,0.00921485153850299,0.016834617664493182,0.004472705717518995,NA,NA
258,"(2,2.025]",2,2.025,0.025,tmp,0.00958129007921539,0.0034488333243519968,0.003976935927143396,NA,NA
259,"(2.025,2.05]",2.025,2.05,0.025,tmp,0.01042194320202619,0,0.0039014926981731962,NA,NA
260,"(2.05,2.075]",2.05,2.075,0.025,tmp,0.00991539580751199,0,0.004364929676132996,NA,NA
261,"(2.075,2.1]",2.075,2.1,0.025,tmp,0.010497386430996389,0.011963140593845989,0.004278708843024196,NA,NA
262,"(2.1,2.125]",2.1,2.125,0.025,tmp,0.010368055181333189,0,0.0041709328016381955,NA,NA
263,"(2.125,2.15]",2.125,2.15,0.025,tmp,0.01023872393166999,0,0.0042032656140539955,NA,NA
264,"(2.15,2.175]",2.15,2.175,0.025,tmp,0.01059438486824379,0,0.004073934364390796,NA,NA
265,"(2.175,2.2]",2.175,2.2,0.025,tmp,0.011639812469687988,0.004117044780945196,0.004364929676132996,NA,NA
266,"(2.2,2.225]",2.2,2.225,0.025,tmp,0.011197930700005389,0,0.004235598426469795,NA,NA
267,"(2.225,2.25]",2.225,2.25,0.025,tmp,0.011973918197984589,0,0.004429595300964596,NA,NA
268,"(2.25,2.275]",2.25,2.275,0.025,tmp,0.01107937705448079,0,0.0044834833216575954,NA,NA
269,"(2.275,2.3]",2.275,2.3,0.025,tmp,0.012081694239370588,3.2332812415799966e-5,0.004602036967182196,NA,NA
270,"(2.3,2.325]",2.3,2.325,0.025,tmp,0.012297246322142588,0,0.004472705717518995,NA,NA
271,"(2.325,2.35]",2.325,2.35,0.025,tmp,0.012297246322142588,0,0.005248693215498194,NA,NA
272,"(2.35,2.375]",2.35,2.375,0.025,tmp,0.012566686425607588,0,0.0045912593630435955,NA,NA
273,"(2.375,2.4]",2.375,2.4,0.025,tmp,0.013439672360834187,0,0.005194805194805195,NA,NA
274,"(2.4,2.425]",2.4,2.425,0.025,tmp,0.012351134342835588,0,0.0045589265506277956,NA,NA
275,"(2.425,2.45]",2.425,2.45,0.025,tmp,0.011650590073826588,0,0.005270248423775395,NA,NA
276,"(2.45,2.475]",2.45,2.475,0.025,tmp,0.011844586948321387,0,0.004979253112033195,NA,NA
277,"(2.475,2.5]",2.475,2.5,0.025,tmp,0.010971601013094788,0,0.005367246861022795,NA,NA
278,"(2.5,2.525]",2.5,2.525,0.025,tmp,0.01086382497170879,0,0.005270248423775395,NA,NA
279,"(2.525,2.55]",2.525,2.55,0.025,tmp,0.011478148407608989,0,0.0052163604030823945,NA,NA
280,"(2.55,2.575]",2.55,2.575,0.025,tmp,0.011532036428301988,0,0.005248693215498194,NA,NA
281,"(2.575,2.6]",2.575,2.6,0.025,tmp,0.011661367677965188,0,0.005507355714824595,NA,NA
282,"(2.6,2.625]",2.6,2.625,0.025,tmp,0.011316484345529988,0,0.005669019776903594,NA,NA
283,"(2.625,2.65]",2.625,2.65,0.025,tmp,0.011715255698658188,0,0.005378024465161395,NA,NA
284,"(2.65,2.675]",2.65,2.675,0.025,tmp,0.01013094789028399,0,0.005097806757557795,NA,NA
285,"(2.675,2.7]",2.675,2.7,0.025,tmp,0.009462736433690791,0,0.005981570296922994,NA,NA
286,"(2.7,2.725]",2.7,2.725,0.025,tmp,0.01080993695101579,0,0.0058845718596755945,NA,NA
287,"(2.725,2.75]",2.725,2.75,0.025,tmp,0.01129492913725279,0,0.005722907797596594,NA,NA
288,"(2.75,2.775]",2.75,2.775,0.025,tmp,0.011241041116559788,0,0.005992347901061594,NA,NA
289,"(2.775,2.8]",2.775,2.8,0.025,tmp,0.011769143719351189,0,0.0054642452982701945,NA,NA
290,"(2.8,2.825]",2.8,2.825,0.025,tmp,0.011488926011747589,0,0.005313358840329794,NA,NA
291,"(2.825,2.85]",2.825,2.85,0.025,tmp,0.011963140593845989,0,0.005539688527240395,NA,NA
292,"(2.85,2.875]",2.85,2.875,0.025,tmp,0.011984695802123187,0,0.005561243735517594,NA,NA
293,"(2.875,2.9]",2.875,2.9,0.025,tmp,0.012534353613191787,0,0.005270248423775395,NA,NA
294,"(2.9,2.925]",2.9,2.925,0.025,tmp,0.013622891631190386,0,0.005766018214150994,NA,NA
295,"(2.925,2.95]",2.925,2.95,0.025,tmp,0.014851538502990785,0,0.0053564692568841945,NA,NA
296,"(2.95,2.975]",2.95,2.975,0.025,tmp,0.015638303605108584,0,0.004893032278924395,NA,NA
297,"(2.975,3]",2.975,3,0.025,tmp,0.013030123403567387,0,0.004925365091340195,NA,NA
298,"(3,3.025]",3,3.025,0.025,tmp,0.011866142156598588,0,0.0048391442582313956,NA,NA
299,"(3.025,3.05]",3.025,3.05,0.025,tmp,0.01142426038691599,0,0.005237915611359595,NA,NA
300,"(3.05,3.075]",3.05,3.075,0.025,tmp,0.011596702053133588,0,0.005270248423775395,NA,NA
301,"(3.075,3.1]",3.075,3.1,0.025,tmp,0.008902301018483591,0,0.005248693215498194,NA,NA
302,"(3.1,3.125]",3.1,3.125,0.025,tmp,0.008762192164681791,0,0.005140917174112195,NA,NA
303,"(3.125,3.15]",3.125,3.15,0.025,tmp,0.007339548418386592,0,0.005485800506547394,NA,NA
304,"(3.15,3.175]",3.15,3.175,0.025,tmp,0.006348008837635394,0,0.0056043541520719945,NA,NA
305,"(3.175,3.2]",3.175,3.2,0.025,tmp,0.0062294551921107935,0,0.005518133318963194,NA,NA
306,"(3.2,3.225]",3.2,3.225,0.025,tmp,0.005593576547933394,0,0.006003125505200194,NA,NA
307,"(3.225,3.25]",3.225,3.25,0.025,tmp,0.005539688527240395,0,0.005852239047259795,NA,NA
308,"(3.25,3.275]",3.25,3.275,0.025,tmp,0.006024680713477394,0,0.005550466131378994,NA,NA
309,"(3.275,3.3]",3.275,3.3,0.025,tmp,0.0048714770706471955,0,0.004936142695478795,NA,NA
310,"(3.3,3.325]",3.3,3.325,0.025,tmp,0.004580481758904995,0,0.004677480196152395,NA,NA
311,"(3.325,3.35]",3.325,3.35,0.025,tmp,0.0042032656140539955,0,0.0045912593630435955,NA,NA
312,"(3.35,3.375]",3.35,3.375,0.025,tmp,0.0038691598857573963,0,0.0035781645740151965,NA,NA
313,"(3.375,3.4]",3.375,3.4,0.025,tmp,0.0037506062402327964,0,0.004181710405776796,NA,NA
314,"(3.4,3.425]",3.4,3.425,0.025,tmp,0.0031470604084711967,0,0.0036967182195397964,NA,NA
315,"(3.425,3.45]",3.425,3.45,0.025,tmp,0.0035673869698765962,0,0.0036104973864309964,NA,NA
316,"(3.45,3.475]",3.45,3.475,0.025,tmp,0.0035566093657379964,0,0.0034380557202133965,NA,NA
317,"(3.475,3.5]",3.475,3.5,0.025,tmp,0.0034488333243519968,0,0.003211726033302797,NA,NA
318,"(3.5,3.525]",3.5,3.525,0.025,tmp,0.002845287492590397,0,0.0032009484291641967,NA,NA
319,"(3.525,3.55]",3.525,3.55,0.025,tmp,0.003039284367085197,0,0.0029422859298377972,NA,NA
320,"(3.55,3.575]",3.55,3.575,0.025,tmp,0.003060839575362397,0,0.0028237322843131974,NA,NA
321,"(3.575,3.6]",3.575,3.6,0.025,tmp,0.002996173950530797,0,0.0028237322843131974,NA,NA
322,"(3.6,3.625]",3.6,3.625,0.025,tmp,0.002899175513283397,0,0.002920730721560597,NA,NA
323,"(3.625,3.65]",3.625,3.65,0.025,tmp,0.002015411973918198,0,0.002931508325699197,NA,NA
324,"(3.65,3.675]",3.65,3.675,0.025,tmp,0.0015304197876811986,0,0.002834509888451797,NA,NA
325,"(3.675,3.7]",3.675,3.7,0.025,tmp,0.0013040901007705986,0,0.0027159562429271973,NA,NA
326,"(3.7,3.725]",3.7,3.725,0.025,tmp,0.0012178692676617989,0,0.002920730721560597,NA,NA
327,"(3.725,3.75]",3.725,3.75,0.025,tmp,0.001002317184889799,0,0.002726733847065797,NA,NA
328,"(3.75,3.775]",3.75,3.775,0.025,tmp,9.26873955919599e-4,0,0.0024896265560165973,NA,NA
329,"(3.775,3.8]",3.775,3.8,0.025,tmp,9.69984372473999e-4,0,0.0027159562429271973,NA,NA
330,"(3.8,3.825]",3.8,3.825,0.025,tmp,6.897666648703993e-4,0,0.0023495177022147978,NA,NA
331,"(3.825,3.85]",3.825,3.85,0.025,tmp,7.544322897019992e-4,0,0.0026081802015411972,NA,NA
332,"(3.85,3.875]",3.85,3.875,0.025,tmp,6.251010400387994e-4,0,0.0024788489518779975,NA,NA
333,"(3.875,3.9]",3.875,3.9,0.025,tmp,8.190979145335992e-4,0,0.0022525192649673976,NA,NA
334,"(3.9,3.925]",3.9,3.925,0.025,tmp,6.251010400387994e-4,0,0.0022417416608287977,NA,NA
335,"(3.925,3.95]",3.925,3.95,0.025,tmp,7.220994772861993e-4,0,0.002284852077383198,NA,NA
336,"(3.95,3.975]",3.95,3.975,0.025,tmp,6.466562483159994e-4,0,0.0021339656194427977,NA,NA
337,"(3.975,4]",3.975,4,0.025,tmp,6.358786441773993e-4,0,0.002263296869105998,NA,NA
338,"(4,4.025]",4,4.025,0.025,tmp,6.789890607317993e-4,0,0.001983079161502398,NA,NA
339,"(4.025,4.05]",4.025,4.05,0.025,tmp,6.251010400387994e-4,0,0.0018753031201163982,NA,NA
340,"(4.05,4.075]",4.05,4.075,0.025,tmp,4.4188176968259954e-4,0,0.0018214150994233982,NA,NA
341,"(4.075,4.1]",4.075,4.1,0.025,tmp,6.251010400387994e-4,0,0.002069299994611198,NA,NA
342,"(4.1,4.125]",4.1,4.125,0.025,tmp,5.819906234843994e-4,0,0.002112410411165598,NA,NA
343,"(4.125,4.15]",4.125,4.15,0.025,tmp,6.251010400387994e-4,0,0.0019184135366707982,NA,NA
344,"(4.15,4.175]",4.15,4.175,0.025,tmp,5.927682276229994e-4,0,0.0017567494745917983,NA,NA
345,"(4.175,4.2]",4.175,4.2,0.025,tmp,5.388802069299994e-4,0,0.002015411973918198,NA,NA
346,"(4.2,4.225]",4.2,4.225,0.025,tmp,5.065473945141995e-4,0,0.0019076359325321981,NA,NA
347,"(4.225,4.25]",4.225,4.25,0.025,tmp,6.035458317615994e-4,0,0.0018753031201163982,NA,NA
348,"(4.25,4.275]",4.25,4.275,0.025,tmp,4.849921862369995e-4,0,0.001896858328393598,NA,NA
349,"(4.275,4.3]",4.275,4.3,0.025,tmp,5.496578110685995e-4,0,0.001896858328393598,NA,NA
350,"(4.3,4.325]",4.3,4.325,0.025,tmp,5.604354152071994e-4,0,0.0016274182249285984,NA,NA
351,"(4.325,4.35]",4.325,4.35,0.025,tmp,4.742145820983995e-4,0,0.0016920838497601982,NA,NA
352,"(4.35,4.375]",4.35,4.375,0.025,tmp,3.233281241579997e-4,0,0.0018214150994233982,NA,NA
353,"(4.375,4.4]",4.375,4.4,0.025,tmp,4.4188176968259954e-4,0,0.001886080724254998,NA,NA
354,"(4.4,4.425]",4.4,4.425,0.025,tmp,2.802177076035997e-4,0,0.001842970307700598,NA,NA
355,"(4.425,4.45]",4.425,4.45,0.025,tmp,3.987713531281996e-4,0,0.0018321927035619982,NA,NA
356,"(4.45,4.475]",4.45,4.475,0.025,tmp,3.125505200193997e-4,0,0.0014657541628495985,NA,NA
357,"(4.475,4.5]",4.475,4.5,0.025,tmp,2.155520827719998e-4,0,0.0018321927035619982,NA,NA
358,"(4.5,4.525]",4.5,4.525,0.025,tmp,2.802177076035997e-4,0,0.0018753031201163982,NA,NA
359,"(4.525,4.55]",4.525,4.55,0.025,tmp,2.3710729104919976e-4,0,0.0018106374952847981,NA,NA
360,"(4.55,4.575]",4.55,4.575,0.025,tmp,2.4788489518779973e-4,0,0.0016058630166513985,NA,NA
361,"(4.575,4.6]",4.575,4.6,0.025,tmp,1.7244166621759982e-4,0,0.0016705286414829983,NA,NA
362,"(4.6,4.625]",4.6,4.625,0.025,tmp,1.2933124966319986e-4,0,0.0014873093711267986,NA,NA
363,"(4.625,4.65]",4.625,4.65,0.025,tmp,1.7244166621759982e-4,0,0.0016058630166513985,NA,NA
364,"(4.65,4.675]",4.65,4.675,0.025,tmp,1.4010885380179986e-4,0,0.0016489734332057982,NA,NA
365,"(4.675,4.7]",4.675,4.7,0.025,tmp,1.832192703561998e-4,0,0.001853747911839198,NA,NA
366,"(4.7,4.725]",4.7,4.725,0.025,tmp,1.7244166621759982e-4,0,0.0017459718704531983,NA,NA
367,"(4.725,4.75]",4.725,4.75,0.025,tmp,1.2933124966319986e-4,0,0.0015843078083741984,NA,NA
368,"(4.75,4.775]",4.75,4.775,0.025,tmp,1.5088645794039985e-4,0,0.0017351942663145982,NA,NA
369,"(4.775,4.8]",4.775,4.8,0.025,tmp,9.69984372473999e-5,0,0.0019507463490865981,NA,NA
370,"(4.8,4.825]",4.8,4.825,0.025,tmp,4.3110416554399954e-5,0,0.0018645255159777982,NA,NA
371,"(4.825,4.85]",4.825,4.85,0.025,tmp,3.2332812415799966e-5,0,0.0015627526000969985,NA,NA
372,"(4.85,4.875]",4.85,4.875,0.025,tmp,5.388802069299995e-5,0,0.0017351942663145982,NA,NA
373,"(4.875,4.9]",4.875,4.9,0.025,tmp,4.3110416554399954e-5,0,0.0017244166621759984,NA,NA
374,"(4.9,4.925]",4.9,4.925,0.025,tmp,6.466562483159993e-5,0,0.0016274182249285984,NA,NA
375,"(4.925,4.95]",4.925,4.95,0.025,tmp,4.3110416554399954e-5,0,0.0014226437462951985,NA,NA
376,"(4.95,4.975]",4.95,4.975,0.025,tmp,4.3110416554399954e-5,0,0.0012933124966319988,NA,NA
377,"(4.975,5]",4.975,5,0.025,tmp,2.1555208277199977e-5,0,0.0013795333297407985,NA,NA
378,"(5,5.025]",5,5.025,0.025,tmp,3.2332812415799966e-5,0,0.0011747588511073989,NA,NA
379,"(5.025,5.05]",5.025,5.05,0.025,tmp,1.0777604138599989e-5,0,0.0012070916635231988,NA,NA
380,"(5.05,5.075]",5.05,5.075,0.025,tmp,2.1555208277199977e-5,0,0.0011532036428301988,NA,NA
381,"(5.075,5.1]",5.075,5.1,0.025,tmp,1.0777604138599989e-5,0,0.0011963140593845988,NA,NA
9,"(-4.225,-4.2]",-4.225,-4.2,0.025,tmp,0,1.0777604138599989e-5,4.3110416554399954e-5,NA,NA
10,"(-4.2,-4.175]",-4.2,-4.175,0.025,tmp,0,6.466562483159993e-5,5.388802069299995e-5,NA,NA
13,"(-4.125,-4.1]",-4.125,-4.1,0.025,tmp,0,2.694401034649997e-4,8.622083310879991e-5,NA,NA
17,"(-4.025,-4]",-4.025,-4,0.025,tmp,0,8.729859352265991e-4,8.622083310879991e-5,NA,NA
18,"(-4,-3.975]",-4,-3.975,0.025,tmp,0,4.3110416554399954e-5,8.622083310879991e-5,NA,NA
21,"(-3.925,-3.9]",-3.925,-3.9,0.025,tmp,0,5.281026027913995e-4,1.6166406207899985e-4,NA,NA
22,"(-3.9,-3.875]",-3.9,-3.875,0.025,tmp,0,5.388802069299995e-5,1.2933124966319986e-4,NA,NA
25,"(-3.825,-3.8]",-3.825,-3.8,0.025,tmp,0,5.927682276229994e-4,9.69984372473999e-5,NA,NA
29,"(-3.725,-3.7]",-3.725,-3.7,0.025,tmp,0,1.832192703561998e-4,1.5088645794039985e-4,NA,NA
30,"(-3.7,-3.675]",-3.7,-3.675,0.025,tmp,0,4.742145820983995e-4,1.077760413859999e-4,NA,NA
